32.5282,313.105,-72.6717
32.6981,316.055,-74.4634
34.7772,317.723,-76.6442
33.0319,318.823,-76.647
30.9382,318.087,-76.4886
30.4547,314.405,-75.5988
30.1327,311.144,-73.8929
27.5691,311.342,-72.5245
25.6279,311.703,-71.6941
21.5897,312.611,-69.7365
17.6905,313.923,-69.081
14.6049,315.903,-69.3172
13.3329,317.815,-69.5707
14.6518,320.264,-69.6876
15.0787,321.567,-69.323
14.3931,323.677,-68.9456
13.3086,324.658,-68.3327
11.6395,326.258,-67.6429
10.1219,327.072,-66.6775
8.42733,326.39,-65.2952
8.41465,326.726,-63.9468
8.62333,326.815,-62.4044
7.93141,326.079,-60.9069
8.4463,325.338,-59.3063
9.74136,320.495,-56.6833
12.1547,318.247,-54.6368
12.2623,315.065,-52.9003
14.2828,307.847,-49.6349
16.4777,299.491,-45.5751
13.1367,293.714,-43.0001
16.2122,287.24,-40.3415
18.1193,282.99,-37.8632
12.1914,281.785,-35.2137
3.06332,281.651,-31.8137
-8.08783,273.983,-23.697
-16.8731,260.904,-16.8815
-26.1387,255.41,-14.1534
-29.8887,251.192,-9.23103
-33.6586,249.27,-8.11633
-32.7521,248.415,-6.73426
-26.3901,247.998,-1.84265
-28.6371,244.861,-0.584471
-33.1199,247.24,3.44039
-35.8489,246.797,6.89517
-38.7766,247.406,10.726
-40.7052,248.811,14.1699
-42.2653,250.761,17.8087
-36.7593,253.843,19.5356
-35.8089,254.627,21.1277
-43.3375,256.285,25.0699
-46.1283,259.198,28.5277
-48.1774,261.521,31.7974
-48.3231,262.633,35.0698
-47.5945,265.194,40.5602
-46.274,266.937,45.8582
-43.7862,267.605,50.4219
-42.193,267.352,53.5405
-40.5243,267.272,58.2483
-37.4319,267.513,61.4197
-35.8082,269.216,65.2858
-33.4412,269.658,69.9817
-31.6381,271.245,73.6813
-29.7172,271.275,77.3516
-27.4923,270.198,80.2327
-25.444,269.04,84.2112
-22.4854,268.619,88.465
-20.4618,269.187,91.534
-17.3761,269.671,94.9426
-15.9576,270.48,98.346
-16.29,271.235,101.885
-17.1421,272.163,105.751
-17.003,272.508,108.879
-16.4733,271.429,110.686
-14.1714,272.016,114.093
-11.713,272.9,117.296
-10.3849,273.483,120.337
-9.03757,273.235,123.288
-6.94909,269.105,127.586
-4.94882,266.366,131.733
-2.18264,268.438,137.113
-1.92253,271.077,142.157
-0.663127,276.2,142.065
3.30904,278.048,144.664
5.20243,279.675,147.483
7.72693,283.174,150.975
9.15481,287.002,153.493
13.4601,289.924,156.109
16.9722,293.31,158.557
21.4826,295.77,161.765
25.5301,298.81,164.206
27.5086,302.833,166.413
27.5089,307.224,168.778
27.0684,310.66,169.551
26.9396,313.327,169.45
30.1675,316.034,167.332
29.0894,315.581,159.123
29.6204,310.37,163.082
26.5945,307.36,156.351
23.5158,306.62,147.473
23.1639,308.15,142.066
22.0762,313.163,140.469
25.3837,332.227,144.06
25.3898,335.936,138.668
41.0556,355.918,150.951
52.9748,362.342,156.881
63.5865,373.884,165.714
72.5923,383.723,170.107
78.287,390.72,173.995
79.9531,400.358,176.992
78.9058,405.599,181.158
81.4061,409.398,180.136
81.4983,410.668,179.848
81.5574,414.005,178.624
77.8613,420.172,179.272
75.8,420.826,176.388
75.736,420.97,173.3
75.3714,418.598,167.793
73.3839,417.335,162.952
70.6685,412.029,154.648
64.4032,411.585,149.905
